Location name,Amount spent (USD)
Azuay Province,3058
Bolívar Province,316
Carchi Province,330
Cañar Province,750
Chimborazo Province,1093
Cotopaxi Province,874
El Oro Province,4030
Esmeraldas Province,1096
Galápagos Province,233
Guayas Province,10957
Imbabura Province,1294
Loja Province,1077
Los Ríos Province,2965
Manabí Province,4209
Morona-Santiago Province,288
Napo Province,200
Orellana Province,304
Pastaza Province,200
Pichincha Province,6329
Santa Elena Province,924
Santo Domingo de los Tsáchilas Province,1651
Sucumbíos Province,726
Tungurahua Province,1275
Unknown,≤100
Zamora-Chinchipe Province,186
