Location name,Amount spent (AUD)
Australian Capital Territory,1248
Jervis Bay Territory,≤100
New South Wales,14271
Northern Territory,456
Queensland,13007
South Australia,4488
Tasmania,3082
Unknown,≤100
Victoria,13345
Western Australia,8666
