Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,139
Baghdad Governorate,688
Basra Governorate,128
Dhi Qar Governorate,115
Diyala Governorate,107
Dohuk Governorate,160
Erbil Governorate,315
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,152
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,281
Saladin Governorate,≤100
Sulaymaniyah Governorate,239
Unknown,≤100
Wasit Governorate,≤100
