Location name,Amount spent (CLP)
Antofagasta Region,500153
Araucanía Region,910670
Arica y Parinacota Region,496356
Atacama Region,593435
Aysén Region,229284
Bío Bío Region,1627800
Coquimbo Region,1164287
Los Lagos Region,1023070
Los Ríos Region,495606
Magallanes y la Antártica Chilena Region,644364
Maule Region,1511477
O'Higgins Region,832816
Santiago Metropolitan Region,7251427
Tarapacá Region,458573
Unknown,1591
Valparaíso Region,3951470
