Location name,Amount spent (CAD)
Alberta,20118
British Columbia,14574
Manitoba,2194
New Brunswick,1663
Newfoundland and Labrador,779
Northwest Territories,≤100
Nova Scotia,2152
Nunavut,≤100
Ontario,40353
Prince Edward Island,274
Quebec,15350
Saskatchewan,2113
Unknown,≤100
Yukon,≤100
