Location name,Amount spent (EUR)
Alsace,527
Aquitaine,731
Auvergne,215
Basse-Normandie,259
Bourgogne,291
Bretagne,651
Centre,476
Champagne-Ardenne,231
Corse,≤100
Franche-Comté,190
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,417
Languedoc-Roussillon,661
Limousin,125
Lorraine,600
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,580
New Caledonia,≤100
Nord-Pas-de-Calais,702
Pays de la Loire,791
Picardie,311
Poitou-Charentes,325
Provence-Alpes-Côte d'Azur,1965
Reunion Island,≤100
Rhône-Alpes,1289
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,2514
