Location name,Amount spent (BRL)
Acre (state),303
Alagoas,1315
Amapá,479
Amazonas,2727
Bahia,5911
Ceará,4702
Espírito Santo,2348
Federal District,3161
Goiás,6311
Maranhão,4124
Mato Grosso,3362
Mato Grosso do Sul,1775
Minas Gerais,20630
Paraná,5867
Paraíba,1728
Pará,4417
Pernambuco,7499
Piauí,1528
Rio Grande do Norte,1714
Rio Grande do Sul,10238
Rio de Janeiro (state),11587
Rondônia,855
Roraima,416
Santa Catarina,5726
Sergipe,1316
São Paulo (state),38189
Tocantins,653
Unknown,≤100
