Location name,Amount spent (PYG)
Alto Paraguay Department,46188
Alto Paraná Department,4674044
Amambay Department,470633
Asunción,2680071
Boquerón department,168245
Caaguazú Department,1729181
Caazapá Department,369555
Canindeyú Department,412781
Central Department,8260907
Concepción Department (Paraguay),477209
Cordillera Department,661702
Guairá Department,574651
Itapúa Department,1650011
Misiones Department,419834
Paraguarí Department,447112
Presidente Hayes Department,309978
San Pedro Department,965783
Unknown,487
Ñeembucú Department,639334
