Location name,Amount spent (HUF)
Baranya County,46865
Borsod-Abaúj-Zemplén County,101210
Budapest,343397
Bács-Kiskun County,64565
Békés County,37219
Csongrád County,66428
Fejér County,57886
Győr-Moson-Sopron County,59688
Hajdú-Bihar County,80385
Heves County,42265
Jász-Nagykun-Szolnok County,43784
Komárom-Esztergom County,38142
Nógrád County,20973
Pest County,145069
Somogy County,41597
Szabolcs-Szatmár-Bereg County,104547
Tolna County,29276
Unknown,≤100
Vas County,43188
Veszprém County,43361
Zala County,37603
