Location name,Amount spent (IDR)
Aceh,822296
Bali,1524575
Bangka–Belitung Islands,388630
Banten,2214710
Bengkulu,677494
Central Java,7706067
Central Kalimantan,660318
Central Sulawesi,832643
East Java,7553812
East Kalimantan,1602487
East Nusa Tenggara,1003680
Gorontalo,454255
Jakarta,4128079
Jambi,875532
Lampung,1557739
Maluku,552786
North Kalimantan,288341
North Maluku,345510
North Sulawesi,2064160
North Sumatra,3577532
Papua (province),657316
Riau,1823332
Riau Islands Province,656975
South Kalimantan,909458
South Sulawesi,3767281
South Sumatra,1934332
Southeast Sulawesi,674958
Special Region of Yogyakarta,1304207
Unknown,904
West Java,8844662
West Kalimantan,1595873
West Nusa Tenggara,1270839
West Papua,348003
West Sulawesi,346186
West Sumatra,1260762
