Location name,Amount spent (PLN)
Greater Poland Voivodeship,2757
Kuyavian-Pomeranian Voivodeship,1595
Lesser Poland Voivodeship,3949
Lower Silesian Voivodeship,4008
Lublin Voivodeship,1106
Lubusz Voivodeship,1001
Masovian Voivodeship,5144
Opole Voivodeship,703
Podkarpackie Voivodeship,1099
Podlaskie Voivodeship,564
Pomeranian Voivodeship,1621
Silesian Voivodeship,4149
Unknown,≤100
Warmian-Masurian Voivodeship,934
West Pomeranian Voivodeship,1484
Łódź Voivodeship,1962
Świętokrzyskie Voivodeship,925
