Location name,Amount spent (VND)
An Giang Province,52599
Bà Rịa–Vũng Tàu Province,52736
Bình Dương Province,48861
Bình Phước Province,32204
Bình Thuận Province,63189
Bình Định Province,44012
Bạc Liêu Province,10132
Bắc Giang Province,101966
Bắc Kạn Province,16406
Bắc Ninh Province,46974
Bến Tre Province,17553
Cao Bằng Province,20857
Cà Mau Province,14776
Cần Thơ,261345
Da Nang,268600
Gia Lai Province,706147
Haiphong,476285
Ho Chi Minh City,1246746
Hà Giang Province,17972
Hà Nam Province,31545
Hà Tĩnh Province,73982
Hòa Bình Province,40866
Hưng Yên Province,45024
Hải Dương Province,117109
Hậu Giang Province,8742
Khánh Hòa Province,59576
Kiên Giang Province,37009
Kon Tum Province,295539
Lai Châu Province,4143
Long An Province,40405
Lào Cai Province,18928
Lâm Đồng Province,64097
Lạng Sơn Province,60286
Nam Định Province,106705
Nghệ An Province,205644
Ninh Bình Province,53470
Ninh Thuận Province,19934
Phú Thọ Province,97578
Phú Yên Province,51962
Quảng Bình Province,34800
Quảng Nam Province,73583
Quảng Ngãi Province,55479
Quảng Ninh Province,671083
Quảng Trị Province,40605
Sóc Trăng Province,27102
Sơn La Province,50287
Thanh Hóa Province,131789
Thái Bình Province,115058
Thái Nguyên Province,91177
Thừa Thiên–Huế Province,668943
Tiền Giang Province,51171
Trà Vinh Province,24002
Tuyên Quang Province,59741
Tây Ninh Province,41422
Vĩnh Long Province,16360
Vĩnh Phúc Province,44316
Yên Bái Province,46879
Điện Biên Province,18353
Đắk Lắk Province,1196899
Đắk Nông Province,20036
Đồng Nai Province,130258
Đồng Tháp Province,46134
