Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
1727289200726711,Search for Common Ground Kenya,Dominick Mwambui,3665,2
123182861072147,Hon Musalia W Mudavadi,Michael Lulu Mudavadi,3565,2
412238482219683,Kambaland,Kambaland,1124,4
200480966638039,Supremacy 1914,These ads ran without a disclaimer,864,2
1400771023469241,Anne Waiguru,Gacigi Njagi Gacigi,849,1
1793544260969494,Hon. Cecily Mbarire MGH,Hon. Cecily Mbarire MGH,684,3
112754900441156,DR. Kiarie Badilisha,Moses Ndirangu Badilisha Kiarie,426,3
103408652150397,Hon. Mohamed Soud Machele,Ibrahim Aziz Omar,355,1
101821255334402,HON. Machua Waithaka Kiambu MP,Tevin Muiruri,173,1
780365355477607,Kenya Muslim Youth Alliance,Kenya Muslim Youth Alliance,154,1
1506723769658512,Susan Kihika,Susan Kihika,144,1
106008812463272,judyshawkhan,These ads ran without a disclaimer,132,1
230834147675510,LabXchange,These ads ran without a disclaimer,132,1
100696586305964,Fine Art Photography Prints by Rico X.,These ads ran without a disclaimer,≤100,1
109181011928509,Vivian Nwakaego Onuigbo,These ads ran without a disclaimer,≤100,1
1606155556168996,Si Amo Afrin,These ads ran without a disclaimer,≤100,1
171522852874952,Juventus,These ads ran without a disclaimer,≤100,1
117329984641743,C301-29,These ads ran without a disclaimer,≤100,1
102544919471936,Digitalpro 746,These ads ran without a disclaimer,≤100,1
109063332112527,travelguyadam,These ads ran without a disclaimer,≤100,1
435272526866135,North American Kurdish Alliance - NAKA,These ads ran without a disclaimer,≤100,1
115761128122902,C301-03,These ads ran without a disclaimer,≤100,1
155438574470276,DW українською,These ads ran without a disclaimer,≤100,1
105012451157797,Uniathena - Short Courses,These ads ran without a disclaimer,≤100,1
107927508871889,Africa Youth Forum International,These ads ran without a disclaimer,≤100,1
367649046908008,Growatt New Energy,These ads ran without a disclaimer,≤100,2
101853479470366,Weregreenly,These ads ran without a disclaimer,≤100,2
100966486285059,C301-18,These ads ran without a disclaimer,≤100,1
114950684872253,C301-27,These ads ran without a disclaimer,≤100,2
