Location name,Amount spent (TRY)
Adana Province,11373
Adıyaman Province,330
Afyonkarahisar Province,7466
Aksaray Province,766
Amasya Province,354
Ankara Province,14511
Antalya Province,13989
Ardahan Province,256
Artvin Province,437
Aydın Province,1948
Ağrı Province,496
Balıkesir Province,2835
Bartın Province,160
Batman Province,338
Bayburt Province,≤100
Bilecik Province,175
Bingöl Province,245
Bitlis Province,460
Bolu Province,230
Burdur Province,603
Bursa Province,2752
Denizli Province,1474
Diyarbakır Province,857
Düzce Province,916
Edirne Province,2049
Elazığ Province,1024
Erzincan Province,227
Erzurum Province,1129
Eskişehir Province,1005
Gaziantep Province,1980
Giresun Province,1273
Gümüşhane Province,289
Hakkâri Province,≤100
Hatay Province,2184
Isparta Province,1019
Istanbul Province,51958
Iğdır Province,192
Kahramanmaraş Province,769
Karabük Province,407
Karaman Province,513
Kars Province,319
Kastamonu Province,1698
Kayseri Province,3105
Kilis Province,≤100
Kocaeli Province,1391
Konya Province,5180
Kütahya Province,1132
Kırklareli Province,2292
Kırıkkale Province,2447
Kırşehir Province,869
Malatya Province,1007
Manisa Province,4295
Mardin Province,386
Mersin Province,3027
Muğla Province,1188
Muş Province,331
Nevşehir Province,1511
Niğde Province,559
Ordu Province,1335
Osmaniye Province,5465
Rize Province,718
Sakarya Province,532
Samsun Province,2037
Siirt Province,≤100
Sinop Province,3213
Sivas Province,778
Tekirdağ Province,2896
Tokat Province,882
Trabzon Province,2604
Tunceli Province,263
Unknown,≤100
Uşak Province,4759
Van Province,830
Yalova Province,202
Yozgat Province,769
Zonguldak Province,2130
Çanakkale Province,1054
Çankırı Province,189
Çorum Province,1014
İzmir Province,6432
Şanlıurfa Province,1190
Şırnak Province,207
