Location name,Amount spent (PGK)
Autonomous Region of Bougainville,≤100
East Sepik Province,≤100
Enga Province,≤100
Jiwaka Province,≤100
Morobe Province,≤100
New Ireland Province,≤100
Port Moresby,≤100
Southern Highlands Province,≤100
West New Britain Province,≤100
Western Highlands Province,≤100
