Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,114
Baghdad Governorate,641
Basra Governorate,118
Dhi Qar Governorate,≤100
Diyala Governorate,114
Dohuk Governorate,186
Erbil Governorate,457
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,147
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,234
Saladin Governorate,≤100
Sulaymaniyah Governorate,294
Unknown,≤100
Wasit Governorate,≤100
