Location name,Amount spent (EGP)
Al Sharqia Governorate,1700
Alexandria Governorate,877
Aswan Governorate,141
Asyut Governorate,323
Beheira Governorate,527
Beni Suef Governorate,230
Cairo Governorate,2422
Dakahlia Governorate,1309
Damietta Governorate,312
Faiyum Governorate,213
Gharbia Governorate,756
Giza Governorate,930
Ismailia Governorate,443
Kafr el-Sheikh Governorate,446
Luxor Governorate,102
Matrouh Governorate,≤100
Minya Governorate,361
Monufia Governorate,524
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,153
Qalyubia Governorate,760
Qena Governorate,227
Red Sea Governorate,≤100
Sohag Governorate,313
South Sinai Governorate,≤100
Suez Governorate,104
Unknown,≤100
