Location name,Amount spent (USD)
Alabama,17983
Alaska,3364
American Samoa,≤100
Arizona,30366
Arkansas,10981
California,128764
Colorado,24682
Connecticut,10903
Delaware,3742
Florida,100400
Georgia,35730
Guam,≤100
Hawaii,3968
Idaho,7099
Illinois,43653
Indiana,23574
Iowa,16104
Kansas,12854
Kentucky,18514
Louisiana,21596
Maine,5217
Maryland,25317
Massachusetts,23237
Michigan,36434
Minnesota,26879
Mississippi,12774
Missouri,22461
Montana,5299
Nebraska,7089
Nevada,16099
New Hampshire,9307
New Jersey,41505
New Mexico,7577
New York,73590
North Carolina,41818
North Dakota,2238
Northern Mariana Islands,≤100
Ohio,74760
Oklahoma,16140
Oregon,16723
Pennsylvania,54220
Puerto Rico,≤100
Rhode Island,4187
South Carolina,22171
South Dakota,2668
Tennessee,31584
Texas,119759
Unknown,134
Utah,11215
Vermont,2028
Virgin Islands (U.S.),≤100
Virginia,35240
Washington,28651
"Washington, District of Columbia",10432
West Virginia,8450
Wisconsin,24664
Wyoming,2047
