Location name,Amount spent (EUR)
Alsace,416
Aquitaine,848
Auvergne,266
Basse-Normandie,284
Bourgogne,316
Bretagne,711
Centre,685
Champagne-Ardenne,281
Corse,104
Franche-Comté,210
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,575
Languedoc-Roussillon,882
Limousin,153
Lorraine,571
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,681
New Caledonia,≤100
Nord-Pas-de-Calais,836
Pays de la Loire,700
Picardie,415
Poitou-Charentes,447
Provence-Alpes-Côte d'Azur,1738
Reunion Island,≤100
Rhône-Alpes,1616
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3780
