Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,14539,137
693907914395620,良杯製所 Oolab,良杯製所 Oolab,14536,9
105253418946641,周玉蔻 （Yuhkow Chou）,These ads ran without a disclaimer,11179,12
101046209392101,新事貸-新鑫特優經銷商,新事貸-新鑫特優經銷商,9571,1
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),8898,81
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,8876,2
467933563234921,南門書局-網路圖書名店、也有實體店面，誠信可靠！,玉河 孫,8454,8
920752461339263,上班不要看,上班不要看,8428,15
106801464127093,目目非營利 MUVE NPO,目目非營利,7272,14
113021403762187,法律協會-債務協商 更生 清算 -全台服務,傢宇 吳,6345,2
201785650801,亞洲大學(Asia University Taiwan),亞洲大學,5794,17
177161918975981,基督教芥菜種會,基督教芥菜種會,5437,27
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,4060,4
105864701769057,瑞馳智庫學院,瑞馳智庫股份有限公司,3524,3
158025223269,今周刊,今周刊,3302,2
1436850183290438,One-Forty,One-Forty,2926,3
347432368933987,LINE TODAY Taiwan,LINE TODAY Taiwan,2371,4
1629474157289221,小牛頓,小牛頓科學教育有限公司,2370,6
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,芸廷 林,2245,49
235679595900,民視新聞,民視新聞,2150,10
1649523455281990,遠山呼喚,遠山呼喚,2146,3
246324992373019,傅崐萁,Evonne Hu,1876,3
104381935820077,南方，寂寞鐵道 On The Train,貝殼放大股份有限公司,1590,4
628210660663641,自由時報地產天下,自由時報地產天下,1545,2
109803990352026,南島魯瑪社 LUMA Association,貝殼放大,1376,10
1847777185521418,放言 Fount Media,放言科技傳媒股份有限公司,1329,15
211730475524462,大陸委員會,大陸委員會,1287,3
1537741526464370,桃園市議長邱奕勝,奕勝 邱,1226,4
189061482332,張嘉郡,嘉郡張,1183,4
152479095435700,茶樹莊園 Tea Tree Garden,花仙子 Farcent,1086,1
286487218798,遠見雜誌,These ads ran without a disclaimer,1017,2
171759036215066,創世紀不動產教育訓練中心,Micky  Wu,1014,26
221323424616286,吳祥輝 Brian Wu,凱恩解方有限公司,945,11
100269158455411,Wh偉鴻金融貸款中心,傢宇 吳,938,2
436843193180529,Unipapa,Unipapa,934,11
390569611008641,願景工程基金會 Vision Project,願景工程基金會,893,28
394896373929368,自由時報,自由時報,879,1
891084220962935,時代力量 New Power Party,時代力量,865,2
104624290080479,張育美,翊斌黃,823,3
125386714156073,天使心家族社會福利基金會,天使心家族社會福利基金會,822,6
106118168971467,債務人權益協會 扣薪 協商 更生 清算,傢宇 吳,775,1
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,745,16
784013591704650,彰化市公所,彰化市公所,737,1
101718182459153,天秤座戰士,Companionship Digital,715,4
246517878713911,劉家昌,勇勳沈,712,1
174567875906128,Epson,台灣愛普生科技股份有限公司,644,4
1962708127351225,國際房產部落客 SuperJullian,Che Hui Chu,626,1
465616346853075,RE-THINK 重新思考,RE-THINK 重新思考,624,7
201107280815936,潔淨學-不咬手潔淨體貼,永勝 許,621,6
1649151078446134,卓冠廷,冠廷卓,615,14
997683843637673,蔡培慧 慧做事真實在,蔡培慧 慧做事真實在,599,4
191690867518507,江啟臣,江啟臣,595,2
170671044596,天主教善牧基金會,天主教善牧基金會,590,12
583748405017728,江怡臻,怡臻江,551,1
821486421219089,捷傑電影,These ads ran without a disclaimer,521,1
2199675410320212,台灣制憲基金會 TNC,台灣制憲基金會 TNC,504,2
104959119850676,轉角國際 udn Global,轉角國際 udn Global,501,1
449156429152075,永安國際理財中心,黃詩凭,497,1
108696572024879,民視嘎哩供,民視新聞,483,4
748193915263885,羅廷瑋,大銘阮,483,15
102764756435823,黃柏霖,柏霖黃,481,1
213646928757562,梁為超,市議員梁為超粉絲團,469,1
182051388480660,客家委員會 Hakka Affairs Council,客家委員會 Hakka Affairs Council,455,2
195094157238158,好立委 楊瓊瓔,宛儀林,455,4
3344785885547669,新北社會局,新北市政府社會局,444,1
188358792124,聯經出版,聯經出版,406,3
796994720374176,鳴人堂,鳴人堂,405,2
115851341819969,21世紀基金會,21世紀基金會,394,1
102943834507641,立法委員 陳椒華,時代力量,393,1
555448224595231,許立丕後援會粉絲團,立丕 許,383,3
131410820262008,宏其婦幼醫院,宏其婦幼醫院,380,3
1636733309982216,黃明賢 屏東縣議員,沛旭 傅,375,1
496684637111616,陳偉杰 Chen Wei-chieh,偉傑 陳,373,3
114692704865190,永安資產管理,冠中王,366,1
2076282802683734,桃園好農,桃園好農,365,1
