Location name,Amount spent (IDR)
Aceh,362464
Bali,1045628
Bangka–Belitung Islands,210193
Banten,1208317
Bengkulu,262678
Central Java,3914486
Central Kalimantan,272709
Central Sulawesi,388328
East Java,4457183
East Kalimantan,682154
East Nusa Tenggara,849307
Gorontalo,294080
Jakarta,2846968
Jambi,383733
Lampung,849817
Maluku,224577
North Kalimantan,106896
North Maluku,164102
North Sulawesi,1070467
North Sumatra,2676458
Papua (province),389221
Riau,1120119
Riau Islands Province,323386
South Kalimantan,331211
South Sulawesi,864783
South Sumatra,934211
Southeast Sulawesi,314977
Special Region of Yogyakarta,583708
Unknown,3274
West Java,4528969
West Kalimantan,580878
West Nusa Tenggara,582520
West Papua,149404
West Sulawesi,129226
West Sumatra,474936
