Location name,Amount spent (EGP)
Al Sharqia Governorate,2979
Alexandria Governorate,4283
Aswan Governorate,643
Asyut Governorate,1557
Beheira Governorate,2063
Beni Suef Governorate,816
Cairo Governorate,9541
Dakahlia Governorate,3264
Damietta Governorate,1293
Faiyum Governorate,929
Gharbia Governorate,1829
Giza Governorate,2742
Ismailia Governorate,861
Kafr el-Sheikh Governorate,1541
Luxor Governorate,429
Matrouh Governorate,172
Minya Governorate,1394
Monufia Governorate,1477
New Valley Governorate,≤100
North Sinai Governorate,167
Port Said Governorate,749
Qalyubia Governorate,1184
Qena Governorate,898
Red Sea Governorate,360
Sohag Governorate,1672
South Sinai Governorate,217
Suez Governorate,570
Unknown,129
