Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,158
Berane Municipality,≤100
Bijelo Polje Municipality,199
Budva Municipality,192
Danilovgrad Municipality,≤100
Herceg Novi Municipality,107
Kolašin Municipality,≤100
Nikšić Municipality,325
Old Royal Capital Cetinje,≤100
Petnjica Municipality,≤100
Plav Municipality,≤100
Pljevlja Municipality,111
Plužine Municipality,≤100
Podgorica Capital City,1246
Rožaje Municipality,107
Tivat Municipality,163
Ulcinj Municipality,181
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
