Location name,Amount spent (IDR)
Aceh,1103556
Bali,1883246
Bangka–Belitung Islands,329922
Banten,2834115
Bengkulu,710479
Central Java,12671838
Central Kalimantan,783014
Central Sulawesi,967197
East Java,14651061
East Kalimantan,1580466
East Nusa Tenggara,2416075
Gorontalo,724746
Jakarta,5610984
Jambi,1138429
Lampung,3458499
Maluku,657073
North Kalimantan,243102
North Maluku,485232
North Sulawesi,2186331
North Sumatra,5885942
Papua (province),647401
Riau,2537607
Riau Islands Province,679460
South Kalimantan,760745
South Sulawesi,3833582
South Sumatra,3485103
Southeast Sulawesi,666747
Special Region of Yogyakarta,2636641
Unknown,17211
West Java,11467800
West Kalimantan,1372691
West Nusa Tenggara,1872837
West Papua,349331
West Sulawesi,383192
West Sumatra,1134549
