Location name,Amount spent (EUR)
Blagoevgrad Province,968
Burgas Province,1401
Dobrich Province,775
Gabrovo Province,400
Haskovo Province,567
Kardzhali Province,357
Kyustendil Province,257
Lovech Province,367
Montana Province,265
Pazardzhik Province,690
Pernik Province,405
Pleven Province,998
Plovdiv Province,1944
Razgrad Province,507
Ruse Province,820
Shumen Province,406
Silistra Province,339
Sliven Province,677
Smolyan Province,282
Sofia City Province,5690
Sofia Province,552
Stara Zagora Province,1104
Targovishte Province,382
Unknown,≤100
Varna Province,1747
Veliko Tarnovo Province,829
Vidin Province,189
Vratsa Province,642
Yambol Province,344
