Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,376
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,124
Dohuk Governorate,214
Erbil Governorate,383
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,114
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,114
Saladin Governorate,≤100
Sulaymaniyah Governorate,371
Unknown,≤100
Wasit Governorate,≤100
