Location name,Amount spent (IDR)
Aceh,3324415
Bali,3578673
Bangka–Belitung Islands,478499
Banten,7162597
Bengkulu,812285
Central Java,24912812
Central Kalimantan,832676
Central Sulawesi,2058546
East Java,24169335
East Kalimantan,3050949
East Nusa Tenggara,4083799
Gorontalo,1686769
Jakarta,24200742
Jambi,1865673
Lampung,4554723
Maluku,1538910
North Kalimantan,436219
North Maluku,562997
North Sulawesi,2987599
North Sumatra,6847798
Papua (province),849555
Riau,2757552
Riau Islands Province,1136111
South Kalimantan,2048660
South Sulawesi,5921596
South Sumatra,4769346
Southeast Sulawesi,1897104
Special Region of Yogyakarta,2447233
Unknown,29695
West Java,27587637
West Kalimantan,2724134
West Nusa Tenggara,3468721
West Papua,442045
West Sulawesi,526915
West Sumatra,2568371
