Location name,Amount spent (IDR)
Aceh,3426724
Bali,3168990
Bangka–Belitung Islands,443156
Banten,3592075
Bengkulu,683095
Central Java,23909408
Central Kalimantan,757786
Central Sulawesi,2078037
East Java,25740163
East Kalimantan,2623687
East Nusa Tenggara,4599256
Gorontalo,2150241
Jakarta,23816464
Jambi,2233027
Lampung,4530624
Maluku,1703738
North Kalimantan,649581
North Maluku,435576
North Sulawesi,2652084
North Sumatra,7487114
Papua (province),688660
Riau,2445749
Riau Islands Province,929973
South Kalimantan,2272560
South Sulawesi,6587309
South Sumatra,4741158
Southeast Sulawesi,2077845
Special Region of Yogyakarta,4412033
Unknown,16123
West Java,19045328
West Kalimantan,2615311
West Nusa Tenggara,3402618
West Papua,357181
West Sulawesi,446335
West Sumatra,2723889
