Location name,Amount spent (HTG)
Artibonite Department,295
Centre Department,148
Grand'Anse Department,≤100
Nippes Department,148
Nord Department,212
Nord-Est Department,148
Nord-Ouest Department,148
Ouest Department,1531
Sud Department,≤100
Sud-Est Department,≤100
