Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,17301130,223
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,9940325,86
110486698458488,Adiguna Daniel Jerash,Adiguna Daniel Jerash,3958501,3
164882486874333,antaranews.com,antaranews.com,3912669,5
102262302515901,Henry Indraguna,Nurazmi Batubara,3201487,7
105818752347206,Teman Airlangga Hartarto,Aditia Ramdani,2563581,33
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,2231831,14
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,1437101,12
110533431433182,sahabatreglow,These ads ran without a disclaimer,1387004,29
197545083607941,Harian Kompas,Harian Kompas,1206086,25
110090765246136,Yanti Airlangga,Yayasan Golkar Institute SPKP,1091324,9
143840239716746,Indozone.id,PT. INDOZONE MEDIA INDONESIA,803158,10
105124862343150,G24 Golkar Jateng,Yayasan Golkar Institut SPKP,697589,7
102060486500863,The Jakarta Post,PT. Bina Media Tenggara,475402,5
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,427347,40
119405895873,Huawei,These ads ran without a disclaimer,409017,1
678421075696415,Giring Ganesha,Partai Solidaritas Indonesia,396012,3
144214102401186,Maman Abdurrahman,Maman Abdurrahman,384184,5
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,365613,2
102122622640795,Catatan Menko Airlangga,Yayasan Golkar Institut,318927,3
204862942932993,Nikkei Asia,These ads ran without a disclaimer,318254,3
100395159482292,Bizhare Securities Crowdfunding,These ads ran without a disclaimer,300220,1
111705291366075,Sobat Erick Thohir,Antonius Maghu Ate,272525,10
106559844743969,kumparanplus,PT. Dynamo Media Network,253235,1
104317482149268,DPRD Provinsi Jawa Timur,Dinni Anggraeni,252330,4
107965558190911,Bansos by DTKS,Mirza Eko Purwanto,248969,1
173776079818775,Saiful Mujani,Saidiman,242764,1
106883058905796,Tanda Seru,Aditia Ramdani,240700,15
104622532469179,Populis,Aditia Ramdani,236350,15
108308008686834,G24 Golkar Jabar,Yayasan Golkar Institut SPKP,235531,3
101428652793656,Readktif,Aditia Ramdani,235435,15
100738338510838,Bangkitlah Indonesia,Iwan Hardiansyah,219745,10
106245875573990,G24 Golkar Kepulauan Riau,Yayasan Golkar Institut SPKP,212077,15
107087892161368,G24 Golkar Sulut,Yayasan Golkar Institute SPKP,211166,7
106659018854198,G24 Golkar Jatim,Yayasan Golkar Institut SPKP,210094,3
102099256044892,G24 Golkar DKI,Yayasan Golkar Institute SPKP,209699,38
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,190024,16
101960622677350,E-KTA Partai Golkar,Yayasan Golkar Institute SPKP,146345,7
102273039070802,Info Terkini,Muhammad Miftakhunnaim,144451,16
103411659195911,JIMAT,Arik Luviani Putri Yasa,133326,8
635425077088293,Sahabat Pak Tengku,Ero Sukarna,117885,6
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,115795,11
103421759149899,Geocorner Indonesia,Geocorner,112040,5
100493776029547,SiCaleg - Aplikasi Pemilihan Legislatif,SiCaleg,105009,1
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,104923,10
101389706093580,G24 Golkar Lampung,Yayasan Golkar Institute SPKP,102523,4
1690573611256871,Pemerintah Kota Manado,Bryan Sumilat,102322,1
101203454841155,Kota Kite,Prayogo,100969,3
1160674184085116,"I G N Kesuma Kelakan,ST.,M.Si",Ign Kesuma Kelakan,99094,1
107653965461442,Bisa Peduli,Ziba Amirullah,98514,1
105621692292591,G24 Golkar Sulsel,Yayasan Golkar Institut SPKP,95807,3
100398849135155,Sandiku Sayang,Iwan Hardiansyah,92294,4
109614491898151,G24 Golkar NTT,Yayasan Golkar Institut SPKP,87785,3
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,87419,8
111805655036485,Humas DPRD Pati,Aditya Rachmat Pamungkas,86735,2
110844658427309,Reglow Skincare,These ads ran without a disclaimer,83508,2
101601538648991,Gerindra Lampung Official,"Asroni Paslah, S.Pd",83282,1
106074385580593,G24 Golkar Banten,Yayasan Golkar Institut SPKP,82806,5
102551632634848,G24 Golkar Papua,Yayasan Golkar Institute SPKP,82439,9
164800207258203,SUARANTB.com,SUARANTB.com,82222,3
110608611801801,G24 Golkar Malut,Yayasan Golkar Institut SPKP,79998,6
102766839263043,G24 Golkar Kaltim,Yayasan Golkar Institut SPKP,79527,8
338740510222539,"Rohmat Marzuki, S.Hut - Sarjana Kehutanan Mbangun Deso",Rohmat Marzuki,76263,2
544107539358354,"Dr. H. Rusman Ya'qub, SPd, MSi",Rusman Yaqub,75976,5
105567345649477,G24 Golkar Sumsel,Yayasan Golkar Institut SPKP,74627,2
102331445974678,G24 Golkar Kalbar,Yayasan Golkar Institut SPKP,74611,3
109421458610554,G24 Golkar Riau,Yayasan Golkar Institute SPKP,72010,5
107368164131162,danielmoeis,These ads ran without a disclaimer,64813,1
176312779081792,Hitachi Asia,These ads ran without a disclaimer,57487,1
100226362848619,G24 Golkar Kalsel,Golkar Institute SPKP,56875,7
326822061530978,Dinas Kominfo Nganjuk,Aditya Rachmat Pamungkas,56170,2
101726745880907,Kita Satu Hati,Kita Satu Hati,54604,1
100602629497814,G24 Golkar Maluku,Yayasan Golkar Institut SPKP,54197,6
104317482149268,DPRD Provinsi Jawa Timur,These ads ran without a disclaimer,50954,1
105351238986805,G24 Golkar Sumut,Yayasan Golkar Institut SPKP,50757,2
100497568096454,Mudfish No Plastic,These ads ran without a disclaimer,50474,3
40841178757,Elnino Mohi,Elnino Mohamad Husein Mohi,45930,1
105308715676825,Filosofi Indonesia,Ganjar Nusantara Indonesia,45814,2
143886516469428,Kabupaten Sampang,Arik Luviani Putri Yasa,45477,3
110368964786452,Kemajuan Bersama,Muhammad Miftakhunnaim,45323,4
107318141100190,Semarang Raya Terkini,Ganjar Nusantara Indonesia,44578,2
107242742146137,G24 Golkar Babel,Yayasan Golkar Institute SPKP,42907,23
101090102753324,Sahabat Reglow Indonesia,These ads ran without a disclaimer,42739,2
111431385073299,G24 Golkar Bengkulu,Yayasan Golkar Institute SPKP,40681,7
110189224999168,We Love PPP Kota Palu,Moh Randi M,40180,1
103610389181419,G24 Golkar Jambi,Yayasan Golkar Institut SPKP,39768,5
110056788323890,Pikiran Indonesia,Ganjar Nusantara Indonesia,36716,2
223999904856495,Graha Nusantara,Ahmad Syauqi,35512,2
106253264560859,Air Kami,Air Kami,35231,4
104278069107924,G24 Golkar NTB,Yayasan Golkar Institute SPKP,33980,1
111351461539951,Kaltim Faktual,Kaltim Faktual,33593,1
101901612703421,G24 Golkar Sultra,Yayasan Golkar Institute SPKP,33200,2
104275935775351,G24 Golkar Kalteng,Yayasan Golkar Institut SPKP,31611,3
103845739156538,G24 Golkar Kaltara,Yayasan Golkar Institut SPKP,31302,8
113058461386521,Mercusuar Indonesia,Ganjar Nusantara Indonesia,28362,2
102477679297861,G24 Golkar Sumbar,Yayasan Golkar Institute SPKP,25628,2
120921589308486,"H. Muhammad Adil, SH., MM","H. Muhammad Adil, SH., MM",24950,4
103581752405141,Sobar Harahap,Ganjar Nusantara Indonesia,24663,2
100147872667354,Kata Nusantara,Ganjar Nusantara Indonesia,22795,2
326770580739640,Revive Israel Tikkun Global,These ads ran without a disclaimer,22795,1
202555993805088,Caption,Ganjar Nusantara Indonesia,21888,2
108571334357297,Melangkah Lebih Baik,Muhammad Miftakhunnaim,21339,2
110043461842446,Journey Sculpture Exhibition,These ads ran without a disclaimer,21056,1
102608695949373,G24 Golkar Gorontalo,Yayasan Golkar Institut SPKP,20095,3
101403669397488,Nikmatul Sugiyarto,Ganjar Nusantara Indonesia,20049,2
101076948451651,Masa Depan Kita,Muhammad Miftakhunnaim,20046,2
112121504882485,GP Bali,Ganjar Nusantara Indonesia,19972,1
100357306113912,Bone tersenyum,Ganjar Nusantara Indonesia,19805,2
105316368950838,Pantau Magelang,Ganjar Nusantara Indonesia,19765,2
103663435776469,Figur jakarta barat,Ganjar Nusantara Indonesia,19758,2
116357131050852,Rumah Kita jambi,Ganjar Nusantara Indonesia,19663,2
103813185760502,Tulungagung cerah,Ganjar Nusantara Indonesia,19598,2
110827921712816,Melihat jakarta pusat,Ganjar Nusantara Indonesia,19592,2
108294188639371,Medan satu,Ganjar Nusantara Indonesia,19587,2
101284185918970,Rumah Kita Riau,Ganjar Nusantara Indonesia,19498,2
103154962503579,Penggemar Pontianak,Ganjar Nusantara Indonesia,19494,2
104052735675516,Sulut Dukung Ganjar,Ganjar Nusantara Indonesia,19491,2
105193322287911,Ideal jakarta selatan,Ganjar Nusantara Indonesia,19454,2
110100218339060,Wahai Ibu Pertiwi,Muhammad Miftakhunnaim,19424,2
107690102033332,Diskusi Tanggamus,Ganjar Nusantara Indonesia,19418,2
110897011635842,Ganjar Jabar,Ganjar Nusantara Indonesia,19408,2
106499898747570,Lampung Dukung Ganjar,Ganjar Nusantara Indonesia,19407,2
100780439404059,Aspirasi jakarta utara,Ganjar Nusantara Indonesia,19393,2
100452782779664,Kubu Raya Terpancar,Ganjar Nusantara Indonesia,19359,2
101053572540830,Sahabat Inspirasi,Ganjar Nusantara Indonesia,19353,2
107019302070970,GP Kepulauan Riau,Ganjar Nusantara Indonesia,19347,2
100359258525418,Pemulihan Lebih Baik,Muhammad Miftakhunnaim,19338,2
1033193516732257,Jabar Dukung Ganjar,Ganjar Nusantara Indonesia,19337,2
108629635281587,Meditasi Banjar,Ganjar Nusantara Indonesia,19330,2
112465261559898,Lensa Kutai Kartanegara,Ganjar Nusantara Indonesia,19318,2
110952238516382,Kiki Daliyo,Dwi Wantoro,19309,2
106767125434048,Rumah GP Sumatra Barat,Ganjar Nusantara Indonesia,19274,2
107712755364133,Melihat Tangerang,Ganjar Nusantara Indonesia,19267,2
101396779210463,Rumah Kita Jatim,Ganjar Nusantara Indonesia,19261,2
1854187061497992,Jogja Dukung Ganjar,Ganjar Nusantara Indonesia,19237,2
110706065058871,Tentang Indramayu,Ganjar Nusantara Indonesia,19235,2
110454451763465,Sambas Bersinar,Ganjar Nusantara Indonesia,19229,2
104297619044779,Halo Depok,Ganjar Nusantara Indonesia,19228,2
110798661714362,Bandung Barat Bersuara,Ganjar Nusantara Indonesia,19227,2
100739975934515,Kemajuan Tanah Air,Muhammad Miftakhunnaim,19214,2
107611851968705,Sumsel Dukung Ganjar,Ganjar Nusantara Indonesia,19211,2
101897212629526,Suasana jogjakarta,Ganjar Nusantara Indonesia,19163,2
103394729135185,Cerita jember,Ganjar Nusantara Indonesia,19141,2
100248349384577,Jateng Dukung Ganjar,Ganjar Nusantara Indonesia,19125,2
102342702575723,Lentera bangkalan,Ganjar Nusantara Indonesia,19101,2
103459482464091,Membawa langkat,Ganjar Nusantara Indonesia,19098,2
111313231664204,Bersama Sukabumi,Ganjar Nusantara Indonesia,19097,2
100184799462772,Update magetan,Ganjar Nusantara Indonesia,19075,2
111519674977954,Lampung Utara Media,Ganjar Nusantara Indonesia,19059,2
108268591971532,Banyuwangi pedia,Ganjar Nusantara Indonesia,19052,2
105425845606525,Balikpapan terdepan,Ganjar Nusantara Indonesia,19045,2
102708602466860,Riau Dukung Ganjar,Ganjar Nusantara Indonesia,19045,2
101491652672085,Gagasan Banyuasin,Ganjar Nusantara Indonesia,19031,2
104108629063055,Kediri bermakna,Ganjar Nusantara Indonesia,19029,2
109933408468992,Intisari malang,Ganjar Nusantara Indonesia,19015,2
103110502426027,Jatim Dukung Ganjar,Ganjar Nusantara Indonesia,18973,2
106681168697547,Rumah kita sulsel,Ganjar Nusantara Indonesia,18967,2
101648362613609,GP Sulawesi Tengah,Ganjar Nusantara Indonesia,18940,2
110195338413992,GP Kalimantan Tengah,Ganjar Nusantara Indonesia,18924,2
102418629201622,GP Nusa Tenggara Timur,Ganjar Nusantara Indonesia,18918,2
100580589422621,Cahaya bojonegoro,Ganjar Nusantara Indonesia,18896,2
111241268349257,Ogan Komering ilir Cerita,Ganjar Nusantara Indonesia,18891,2
107713638697378,Filosofi jakarta timur,Ganjar Nusantara Indonesia,18887,2
100382756075812,GP Kalimantan Timur,Ganjar Nusantara Indonesia,18826,2
102465072563116,Pelindung bondowoso,Ganjar Nusantara Indonesia,18810,2
106079928863841,Kepulauan seribu bersatu,Ganjar Nusantara Indonesia,18794,2
101220845990276,GP Bengkulu,Ganjar Nusantara Indonesia,18787,2
108358428631534,Lampung Selatan Bersuara,Ganjar Nusantara Indonesia,18784,2
101221822692653,Filosofi Serang,Ganjar Nusantara Indonesia,18781,2
102315419246267,Banjar Update,Ganjar Nusantara Indonesia,18770,2
103020259173359,Info Ciamis Terdepan,Ganjar Nusantara Indonesia,18736,2
108033718631640,GP Kalimantan Barat,Ganjar Nusantara Indonesia,18726,2
111272021680009,Cendekiawan Palembang,Ganjar Nusantara Indonesia,18706,2
100982406049172,Cahaya Cimahi,Ganjar Nusantara Indonesia,18705,2
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,18695,2
109125065219055,Story Garut,Ganjar Nusantara Indonesia,18672,2
104732402342782,Filosofi tangerang selatan,Ganjar Nusantara Indonesia,18656,2
104865885651439,Suara Bekasi,Ganjar Nusantara Indonesia,18648,2
101872465967714,Samarinda Bahagia,Ganjar Nusantara Indonesia,18617,2
109506435180993,Gowa terbuka,Ganjar Nusantara Indonesia,18605,2
100754459407291,Inspirasi Bandar Lampung,Ganjar Nusantara Indonesia,18571,2
103742372435301,Serang News,Ganjar Nusantara Indonesia,18554,2
106304798840888,Potret Pandeglang,Ganjar Nusantara Indonesia,18551,2
105869408883391,Sumenep gembira,Ganjar Nusantara Indonesia,18530,2
100343616115301,Deli serdang tertanam,Ganjar Nusantara Indonesia,18504,2
103856925756142,Membaur surabaya raya,Ganjar Nusantara Indonesia,18489,2
106730535462607,Nilai nganjuk,Ganjar Nusantara Indonesia,18483,2
111613951635299,Lampung Timur Pedia,Ganjar Nusantara Indonesia,18477,2
106674122146910,Warta Banjarmasin,Ganjar Nusantara Indonesia,18469,2
103117879108618,Jatim Untuk Ganjar,Ganjar Nusantara Indonesia,18442,2
100820999398181,Melihat Cianjur,Ganjar Nusantara Indonesia,18421,2
105528572251003,Kuningan Opini,Ganjar Nusantara Indonesia,18415,2
110101038466059,Tanah Terbit,Ganjar Nusantara Indonesia,18414,2
109916735140811,Lampung Tengah Berfikir,Ganjar Nusantara Indonesia,18397,2
113037281623772,Tangerang Kota Bercerita,Ganjar Nusantara Indonesia,18396,2
110440058420230,Discussion Cilegon,Ganjar Nusantara Indonesia,18394,2
101157472699039,Lensa Lebak,Ganjar Nusantara Indonesia,18380,2
108705558596782,Makassar berteman,Ganjar Nusantara Indonesia,18368,2
100712919410182,Sidoarjo tersenyum,Ganjar Nusantara Indonesia,18367,2
114105438017003,GP Nusa Tenggara Barat,Ganjar Nusantara Indonesia,18353,2
112287718233835,Tuban terlihat,Ganjar Nusantara Indonesia,18353,2
105156635699051,G24 Golkar Bali,Golkar Institute SPKP,18352,2
108365135296345,Caption's Karawang,Ganjar Nusantara Indonesia,18347,2
112570091503539,GP Papua,Ganjar Nusantara Indonesia,18320,2
105348782270164,Kontrol trenggalek,Ganjar Nusantara Indonesia,18308,2
109247435205581,Gresik berwarna,Ganjar Nusantara Indonesia,18297,2
105533338917792,Pikiran Purwakarta,Ganjar Nusantara Indonesia,18264,2
109071325223743,Lamongan satu,Ganjar Nusantara Indonesia,18247,2
105337025602786,Lumajang terpandang,Ganjar Nusantara Indonesia,18246,2
104756772331381,Discussion Sumedang,Ganjar Nusantara Indonesia,18227,2
102185832591509,Bandung Raya Update,Ganjar Nusantara Indonesia,18191,2
105984728799517,Sulsel Dukung Ganjar,Ganjar Nusantara Indonesia,18186,2
