Location name,Amount spent (HUF)
Baranya County,84371
Borsod-Abaúj-Zemplén County,108190
Budapest,517562
Bács-Kiskun County,86858
Békés County,62501
Csongrád County,101821
Fejér County,80801
Győr-Moson-Sopron County,87073
Hajdú-Bihar County,98114
Heves County,55500
Jász-Nagykun-Szolnok County,62654
Komárom-Esztergom County,66887
Nógrád County,31966
Pest County,224074
Somogy County,55280
Szabolcs-Szatmár-Bereg County,97047
Tolna County,41453
Unknown,≤100
Vas County,59126
Veszprém County,62867
Zala County,56997
