Location name,Amount spent (PLN)
Greater Poland Voivodeship,5100
Kuyavian-Pomeranian Voivodeship,2243
Lesser Poland Voivodeship,3585
Lower Silesian Voivodeship,3233
Lublin Voivodeship,1895
Lubusz Voivodeship,1051
Masovian Voivodeship,8519
Opole Voivodeship,1250
Podkarpackie Voivodeship,1867
Podlaskie Voivodeship,918
Pomeranian Voivodeship,2600
Silesian Voivodeship,4449
Unknown,≤100
Warmian-Masurian Voivodeship,1623
West Pomeranian Voivodeship,2134
Łódź Voivodeship,2465
Świętokrzyskie Voivodeship,1073
