Location name,Amount spent (SEK)
Blekinge County,3512
Dalarna County,6880
Gotland County,1539
Gävleborg County,7357
Halland County,8292
Jämtland County,3439
Jönköping County,8566
Kalmar County,5262
Kronoberg County,4205
Norrbotten County,6835
Skåne County,37615
Stockholm County,66577
Södermanland County,7681
Unknown,157
Uppsala County,12059
Värmland County,6642
Västerbotten County,7871
Västernorrland County,5661
Västmanland County,6636
Västra Götaland County,46981
Örebro County,7302
Östergötland County,11016
