Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
311627208673,WWF UK,WWF UK,8413,88
10677003998,Shelter,Shelter,8173,273
7715002593,UNICEF UK,Unicef UK,6332,24
102639461303190,Fair Pay For All,Fair Pay For All,6046,224
9250349228,Greenpeace UK,Greenpeace,5816,61
97708339756,Action for Children,Action for Children,4645,64
220543443746,International Rescue Committee - UK,International Rescue Committee UK,4523,92
7624294394,Amnesty International UK,Amnesty International UK,3009,120
353224381469808,ifaw,IFAW,2601,38
21242962092,ClientEarth,ClientEarth,2176,78
514212165305248,Leigh Day,Leigh Day,1998,44
208573062515662,Freedom from Torture,Freedom from Torture,1835,121
799576543492660,The Week Junior,The Week Junior,1622,68
18044497940,Plan International UK,Plan International UK,1513,69
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1491,2
158077247591710,Refuge,Refuge,1272,58
117476785190,Save the Children UK,Save the Children UK,1253,51
260012884055691,Metropolitan Police Service,Metropolitan Police Service,1246,25
7527864602,WaterAid UK,WaterAid UK,1227,64
35671512696,World Animal Protection UK,World Animal Protection UK,1219,33
37981137361,The Children's Society,The Children's Society,1172,84
121936349543,World Vision UK,World Vision UK,1114,30
13047522725,Crimestoppers,Crimestoppers,1103,116
109602554296513,Your Funded Energy Solution,Huw John Llewellyn,984,26
30349161852,Eden Project,Eden Project,966,8
348366988862054,Oxfam Campaigns,Oxfam Great Britain,957,1
7715002593,UNICEF UK,UNICEF UK with Facebook Ad Credits,930,6
360322167647280,"Mayor of London, Sadiq Khan",The Greater London Authority,930,12
216441838710642,Women's Aid Federation Northern Ireland,Women’s Aid Federation Northern Ireland,882,1
39605200520,ActionAid UK,ActionAid UK,880,36
241312696375349,National Education Union,National Education Union,870,6
165099760197787,Welsh Government,Welsh Government,829,202
117509421272,St Mungo's,St Mungo's,818,40
1613092172114946,DWP Digital,Department for Work and Pensions,806,4
268801635305,Breast Cancer Now,Breast Cancer Now,748,5
13533633585,National Trust,National Trust,735,2
722939897742608,The Co-operative Bank,The Co-operative Bank,728,20
26698813123,British Red Cross,British Red Cross,684,78
1660600037490738,Guardian Labs,Guardian Labs,669,30
