Location name,Amount spent (CZK)
Central Bohemian Region,37632
Hradec Králové Region,16979
Karlovy Vary Region,8270
Liberec Region,13524
Moravian-Silesian Region,36528
Olomouc Region,19202
Pardubice Region,15955
Plzeň Region,17866
Prague,77694
South Bohemian Region,19109
South Moravian Region,46564
Unknown,≤100
Vysočina Region,14578
Zlín Region,17097
Ústí nad Labem Region,25401
