Location name,Amount spent (EUR)
Alsace,448
Aquitaine,914
Auvergne,281
Basse-Normandie,312
Bourgogne,385
Bretagne,781
Centre,523
Champagne-Ardenne,271
Corse,143
Franche-Comté,223
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,433
Languedoc-Roussillon,793
Limousin,149
Lorraine,563
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,731
New Caledonia,≤100
Nord-Pas-de-Calais,838
Pays de la Loire,795
Picardie,504
Poitou-Charentes,424
Provence-Alpes-Côte d'Azur,1617
Reunion Island,≤100
Rhône-Alpes,1802
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3207
