Page ID,Page name,Disclaimer,Amount spent (THB),Number of ads in Library
161651553861945,Amnesty International Thailand,Amnesty International Thailand,4146,3
651699931624315,Techsauce,Techsauce,2778,9
546416699215073,ห้องสื่อครูคอม,Krisada Khamma,2584,2
345127652279503,มูลนิธิสากลเพื่อคนพิการ,มูลนิธิสากลเพื่อคนพิการ,2303,1
177948972256358,เอกนัฏ พร้อมพันธุ์ (ขิง),Chonticha Mahachai,1753,4
596724453707731,Kittikorn Lohsoonthorn กิตติกร โล่ห์สุนทร,Kittikorn Lohsoonthorn,1732,5
105240704690111,ก้าวหน้า สมุทรสาคร,ชมมณี ขันนาค,1431,7
266172157730,คนค้นฅน,คนค้นฅน,1334,5
110724810750875,มังกรฟ้า ล็อตเตอรี่ BKK,These ads ran without a disclaimer,986,2
110325275488,efinanceThai,efinanceThai,978,2
241115389300595,คุณหญิงสุดารัตน์ เกยุราพันธุ์ Sudarat Keyuraphan,คุณหญิงสุดารัตน์ เกยุราพันธุ์ Sudarat Keyuraphan,759,1
251576523395330,พีรพล ทะต่อม-Peerapol Thatom,Peerapol Thatom,743,3
489551844784172,กานต์กนิษฐ์ แห้วสันตติ,These ads ran without a disclaimer,737,1
622674297897819,Screenshirt2020,Screenshirt2020,626,1
101535845426970,พรรคไทยสร้างไทย,พรรคไทยสร้างไทย,626,1
108515294626891,สอบข้าราชการท้องถิ่น By Thurakan,Chiraphorn Thuree,617,3
296508406790,"Democrat Party, Thailand พรรคประชาธิปัตย์","Democrat Party, Thailand พรรคประชาธิปัตย์",615,7
1105604039583762,Line One สว.นท. ขอเชิญส่งประวัติ ส่วนตัว องค์กร เพื่อเข้ารับรางวัลประจำปี,Suksan Booran,586,1
114517608647869,กรุงเทพมหานคร,กรุงเทพมหานคร,545,2
115922723434700,ครูเจพีสรุปย่อ for Teacher,ครูเจพีสรุปย่อ for Teacher,534,4
115546958084699,Eden wellness วิตามินชะลอวัย สเต็มเซลล์ รักษาฝ้าด้วย exosome ด้วยเซลล์บำบัด,These ads ran without a disclaimer,506,1
100385865858225,D-vote,These ads ran without a disclaimer,492,39
166420290494333,สายไหมบ้านเรา - ดร.สมชาย เวสารัชตระกูล,สายไหมบ้านเรา - ดร.สมชาย เวสารัชตระกูล,419,1
111341764925564,สำนักสนับสนุนการพัฒนาระบบสุขภาพ - สำนัก 7 สสส.,สำนักสนับสนุนการพัฒนาระบบสุขภาพ - สำนัก 7 สสส.,391,6
190923294988741,สอบครูผู้ช่วยนะ,สอบครูผู้ช่วยนะ,366,2
100624122148338,โรงพยาบาลรวมใจรักษ์ สุขุมวิท 62 Ruamjairak Hospital Sukhumvit 62,โรงพยาบาลรวมใจรักษ์ สุขุมวิท 62 Ruamjairak Hospital Sukhumvit 62,331,63
557037101061685,Newtv18,DN Media Company Limited,316,2
107930675466995,IStore Trangไอสโตร์ ร้านจำหน่ายโทรศัพท์มือสอง ผ่อนไปใช้ไป,These ads ran without a disclaimer,308,1
418729291509368,สถาบันปรีดี พนมยงค์ Pridi Banomyong Institute,สถาบันปรีดี พนมยงค์ Pridi Banomyong Institute,288,4
101903785231136,นายกไก่กังวาล ศักดิ์ชัย พิศาลผล,Thanachit Phraemuang,281,5
494189467277672,Agenda,บริษัท ดิ อาเจนด้า จำกัด,220,2
106337912336664,ปั้น ณัทกร แก้วพิจิตร,ปั้น ณัทกร แก้วพิจิตร,218,1
172057439546202,พันโท สินธพ แก้วพิจิตร (เสธ.แก้ว),พันโท สินธพ แก้วพิจิตร (เสธ.แก้ว),218,1
107603708821819,ชัยวัฒน์ เชื้อสกุล - ไทยสร้างไทย  ลำปาง เขต 1,Supachon Srikunchai,216,1
