Page ID,Page name,Disclaimer,Amount spent (VEF),Number of ads in Library
645406838886541,Freddy Superlano,an advertiser in Venezuela,131264405,5
564188034075673,Roberto Enriquez,an advertiser in Venezuela,39444821,2
37896015468,"Embajada de los EE.UU., Venezuela",an advertiser in Venezuela,5500000,4
106297255064534,Julio Fuenmayor,an advertiser in Venezuela,5000000,2
596206767151427,Julio Borges,an advertiser in Venezuela,3750000,3
1382843902038454,Jony Rahal Oficial,an advertiser in Venezuela,3500000,12
342543309244937,People in Need América Latina,These ads ran without a disclaimer,1594993,2
854258371335256,Diario del Pueblo,an advertiser in Venezuela,1500000,1
106718764251730,José Jhonatan Mujica Acosta,an advertiser in Venezuela,1250000,1
101084619090775,Gonzalez10ana,an advertiser in Venezuela,1029995,1
104696832211450,Turismo - Alcaldia de Maracaibo,an advertiser in Venezuela,750000,1
100633682939979,Artemis Stetica & Spa,an advertiser in Venezuela,500000,1
107771778700060,criptocuriosas,These ads ran without a disclaimer,480833,1
100904822517086,Non-trivial,These ads ran without a disclaimer,295275,3
435259723296695,Política Internacional - Otra Mirada,These ads ran without a disclaimer,294000,1
105238361289938,jacksonm.arte,These ads ran without a disclaimer,250000,1
1685755648327288,QMode,These ads ran without a disclaimer,170422,1
103150501144126,xioacevedo,These ads ran without a disclaimer,120903,1
342526129176907,World Maritime University - headquarters,These ads ran without a disclaimer,≤100,1
104850368831975,Bubblegum,These ads ran without a disclaimer,≤100,1
103018869332378,BantuPage,These ads ran without a disclaimer,≤100,1
157586528019668,Nigel Ng,These ads ran without a disclaimer,≤100,1
150793518281117,Covestro,These ads ran without a disclaimer,≤100,1
1065631633538453,Physicians Across Continents,These ads ran without a disclaimer,≤100,1
117818434635419,silasthestylish,These ads ran without a disclaimer,≤100,1
64982236830,Alumni Association of the University of Michigan,These ads ran without a disclaimer,≤100,1
6651543066,CNN Business,These ads ran without a disclaimer,≤100,4
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,2
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,1
398610380712044,River Cleanup,These ads ran without a disclaimer,≤100,8
115575820139019,Af Fhyf,These ads ran without a disclaimer,≤100,1
145521742161580,International Association for the Study of Lung Cancer,These ads ran without a disclaimer,≤100,1
111283271603417,Taicang Entdecken,These ads ran without a disclaimer,≤100,2
101457766031847,A dos pasos del cielo,These ads ran without a disclaimer,≤100,1
