Location name,Amount spent (CZK)
Central Bohemian Region,7183
Hradec Králové Region,2784
Karlovy Vary Region,1366
Liberec Region,1995
Moravian-Silesian Region,5832
Olomouc Region,4014
Pardubice Region,3308
Plzeň Region,2946
Prague,14462
South Bohemian Region,3103
South Moravian Region,7076
Unknown,≤100
Vysočina Region,2163
Zlín Region,3110
Ústí nad Labem Region,4418
