Location name,Amount spent (PYG)
Alto Paraguay Department,21202
Alto Paraná Department,1595711
Amambay Department,166689
Asunción,1734798
Boquerón department,66931
Caaguazú Department,565225
Caazapá Department,143806
Canindeyú Department,192672
Central Department,3749256
Concepción Department (Paraguay),217787
Cordillera Department,428218
Guairá Department,228017
Itapúa Department,867670
Misiones Department,205309
Paraguarí Department,279358
Presidente Hayes Department,88056
San Pedro Department,308980
Unknown,110
Ñeembucú Department,210800
