Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
223287104715778,Oxfam,Oxfam,4280,4
1400771023469241,Anne Waiguru,Gacigi Njagi Gacigi,2489,2
149686932284314,Wisley Rotich,Wisley Kipyegon Rotich,1003,1
1193528597409133,Roots Academy - Nakuru,These ads ran without a disclaimer,366,1
102324481269298,Hon. Zamzam Mohammed,Obed Nyang'ai,247,2
112754900441156,DR. Kiarie Badilisha,Moses Ndirangu Badilisha Kiarie,174,2
100552821298068,Newa Ethiopia,These ads ran without a disclaimer,122,5
1506723769658512,Susan Kihika,Susan Kihika,≤100,2
107303168879177,therealafricandiary,These ads ran without a disclaimer,≤100,1
1587103198245131,Zikoko,These ads ran without a disclaimer,≤100,2
19595510126,Annual Reviews,These ads ran without a disclaimer,≤100,1
590244531002882,Hon. Adan Keynan Wehliye,Yusuf Hashi Duale,≤100,1
41883361077,IPS News Agency,These ads ran without a disclaimer,≤100,1
632228990183262,Chinesische Volkszeitung Online,These ads ran without a disclaimer,≤100,1
314687429173912,Traveler Door,These ads ran without a disclaimer,≤100,2
123492901131057,TechCabal,These ads ran without a disclaimer,≤100,1
864316016923530,Jesus Anoints Ministries,These ads ran without a disclaimer,≤100,1
105085411518160,Albert Hilaire Anoubon Momo,These ads ran without a disclaimer,≤100,1
372125409639,World Transformation Movement,These ads ran without a disclaimer,≤100,1
101812251815461,Traveler Door - Magazine,These ads ran without a disclaimer,≤100,5
105374557808288,Le chinois avec Xu Li,These ads ran without a disclaimer,≤100,2
266326784277268,Youth4Nature,These ads ran without a disclaimer,≤100,1
223287104715778,Oxfam,These ads ran without a disclaimer,≤100,1
101398415126254,DSC Solutions - Your Environmental Partner,These ads ran without a disclaimer,≤100,1
1509413712605916,ICAO - International Civil Aviation Organization,These ads ran without a disclaimer,≤100,1
107307848882886,Lin1129-10,These ads ran without a disclaimer,≤100,1
101803608963442,Future Minerals Forum - مؤتمر التعدين الدولي,These ads ran without a disclaimer,≤100,1
222717911120348,Venus Remedies Limited,These ads ran without a disclaimer,≤100,1
11949538375,chinadialogue,These ads ran without a disclaimer,≤100,2
105363750882345,Young Activists Summit,These ads ran without a disclaimer,≤100,4
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
318309391596,Freely in Hope,These ads ran without a disclaimer,≤100,1
