Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,4535,45
146122195591636,שלומי לחיאני - בת ים בראש מורם,שלומי לחיאני - בת ים בראש מורם,2225,37
128641160502301,גלובס - Globes,גלובס - Globes,1581,1
111523625527552,התנועה לאיכות השלטון,התנועה לאיכות השלטון,1329,5
849824028408565,תנועת אם תרצו,תנועת אם תרצו,1267,37
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",1183,20
103428925850338,אבי סלמה - נתניה,אבי סלמה - נתניה,1167,2
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",1098,36
1073548259341247,לובי 99,לובי 99,1052,10
429184557235927,בצלאל סמוטריץ',בצלאל סמוטריץ,953,3
110125925176216,יוזמת המאה - The 100 Initiative,יוזמת המאה,884,2
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,851,14
204780362875106,מקור ראשון,מקור ראשון,790,48
105967002552796,יקנעם שלנו בראשות לאה פדידה,סיעת יקנעם שלנו בראשות לאה פדידה,744,2
160119221434385,דוד עציוני -ראש העיר חיפה,דוד עציוני -ראש העיר חיפה,729,6
103085619445870,ניר ברכיה משרד עורכי דין,ניר ברכיה משרד עורכי דין,719,2
124894077550811,ישראל חופשית,ישראל חופשית,717,8
103467516087241,הפרלמנט המקורי,הפרלמנט המקורי,692,6
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,692,35
103563939372367,ברק סרי - Barak Seri,ברק סרי - Barak Seri,675,4
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,670,8
114201461733889,"מיכאל וידל- ראש עיירית רמלה, העמוד הפוליטי",ראש העיר מיכאל וידל,635,1
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,629,6
108787681841168,רישיון נשק בקליק,רישיון נשק בקליק,617,2
138399090105076,הבנק החברתי למזון תינוקות,הבנק החברתי למזון תינוקות,597,3
638721842824344,עליזה בלוך,עליזה בלוך,594,10
117177111377152,Шломи Лахьяни,שלומי לחיאני,557,1
113257552029689,Israel Police - משטרת ישראל,Israel Police,534,1
536667660149293,מתן כהנא Matan Kahana,מתן כהנא Matan Kahana,531,1
106057988971053,אלי כהן - Eli Cohen,אלי כהן - Eli Cohen,517,6
249479152534875,Kfir Swisa - כפיר סויסה,Kfir Swisa - כפיר סויסה,511,2
662721113760589,TheMarker Labels,TheMarker Labels,508,3
178433145502975,Avigdor Liberman - אביגדור ליברמן,ישראל ביתנו,504,14
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,476,43
119995701391029,בית בן-גוריון בתל אביב,בית בן גוריון,475,3
124191360932729,התעוררות בירושלים,התעוררות בירושלים,465,11
159416337497662,Nir Barkat - ניר ברקת,Nir Barkat - ניר ברקת,462,3
558702227875758,רוני רימון,רוני רימון,462,1
108979322204008,יוסי דגן - yosi dagan,יוסי דגן - yosi dagan,459,3
140536699429565,המכון למחקרי ביטחון לאומי,המכון למחקרי ביטחון לאומי,447,8
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,432,2
1510157982620509,הלן גלבר - Helen Gelber,הלן גלבר - Helen Gelber,429,7
108212852272431,ג'קי יעקב צבי,יעקב ג'קי צבי לראשות המועצה,416,4
337591096309750,Embassy of Ukraine in the State of Israel,Embassy of Ukraine in the State of Israel,402,1
137449656335533,Amnesty International Israel,Amnesty International Israel,400,3
102524746200583,רחמים מלול - ראש עיריית רחובות,רחמים מלול,371,3
207175656718749,אביהו האן לראשות עיריית חיפה,אביהו האן לראשות עיריית חיפה,368,2
313229072156432,ארקדי פומרנץ - Arkady Pomeranz,ארקדי פומרנץ - Arkady Pomeranz,367,2
114501578583315,סינמטק תל אביב,Cinematheque Tel Aviv,353,4
107058789108097,יאיר מעיין - Yair Maayan,יאיר מעיין,353,7
112779795076593,שי יזרעאלי - לראשות המועצה האזורית עמק יזרעאל,שי יזרעאלי - לראשות המועצה האזורית עמק יזרעאל,343,6
1921160331531297,Act. تغيير اعلامي,סיכוי אופוק - سيكوي أفق,340,3
110218465442225,אורן חזן - ראש עיר חזק לאריאל,אורן חזן,331,1
199381213757428,שי קינן - shai keinan,שי קינן - shai keinan,323,2
500238833397356,ציפי ברנד,ציפי ברנד,320,6
1662907067255622,איגוד הגז הטבעי,Unik,315,4
1484712825147171,Tomer Warsha Adv • Immigration to Israel • Aliya • Immigrants • Citizenship,"משרד עו""ד תומר ורשה",304,11
161804953943328,Яир Лапид,יש עתיד - בראשות יאיר לפיד,301,7
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,293,4
120240631007633,הילה לנקרי-מיוסט,הילה לנקרי-מיוסט,285,2
112169951926386,אלון רוזן,אלון רוזן,281,2
655073717925481,קרן ברל כצנלסון,קרן ברל כצנלסון,278,4
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,267,20
108714485611920,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,252,2
219256864871723,Lea Fadida לאה פדידה,Lea Fadida לאה פדידה,251,3
979469898759509,יוסי חביליו - Yosi Havilio,יוסי חביליו - Yosi Havilio,249,6
108817672183005,"נשר מספר אח""ת","נשר מספר אח""ת",249,4
224993517556428,Da'am Party - מפלגת דעם - حزب دعم,Da'am Party - מפלגת דעם - حزب دعم,246,4
256546887847232,עיריית רמת גן,עיריית רמת גן,241,6
107863545666861,"עו""ד נתנאל בן יוסף אחרק",נתנאל אחרק,240,1
218832864804823,הקריה האקדמית אונו - מינהל הציונות הדתית,הקריה האקדמית אונו - מנהל הציונות הדתית,239,4
615531405455497,הדר לביא,הדר לביא,234,12
103185328887035,דניאל ליזרוביץ',דניאל ליזרוביץ',234,3
1514952655390958,משרד תומר ורשה - עורכי דין • הגירה והסדרת מעמד • אשרות בישראל • זכויות אדם,"משרד עו""ד תומר ורשה",229,7
295211077200566,מרצ כפר סבא,מרצ כפר סבא,226,5
622545034511462,נשים עושות שלום - نساء يصنعن السلام  - Women Wage Peace,נשים עושות שלום - نساء يصنعن السلام  - Women Wage Peace,215,2
153991671307861,אישה לאישה - למען נשים נפגעות אלימות וילדיהן,אישה לאישה - למען נשים נפגעות אלימות וילדיהן,215,7
119889504408611,שלומי קדוש חבר מועצת העיר קרית ים,שלומי קדוש חבר מועצת העיר קרית ים,214,3
94258847306,האגודה לזכויות האזרח בישראל,האגודה לזכויות האזרח בישראל,209,8
1010890709085110,תומר יעקב,תומר יעקב,208,12
163213311020271,רונן סלטון לראשות המועצה,רונן סלטון לראשות המועצה,204,1
1828669360700280,דרך שירה בנקי - shira banki's way,Shira Banki's Way - דרך שירה בנקי,203,16
104222621115858,הביטחוניסטים,הביטחוניסטים,196,11
219236568818575,גלית שאול - ראשת מועצת עמק חפר,גלית שאול - ראשת מועצת עמק חפר,195,3
939376299576182,דודו דר - Dudu Dar,דודו דר - Dudu Dar,193,4
103497915119804,מיכל וולדיגר,מיכל וולדיגר,192,2
112933168448095,בת שבע אבוחצרה - לראשות העיר כרמיאל,בת שבע אבוחצרה - לראשות העיר כרמיאל,188,3
115456451553737,יונה יהב,יונה יהב,187,6
101783656248845,صفحة السيد سامي عيسى الرسمية مرشح لرئاسة بلدية كفرقاسم,صفحة السيد سامي عيسى الرسمية مرشح لرئاسة بلدية كفرقاسم,185,2
670447859788515,יניב דרי - מחוברים לתושב,Yaniv Derry,185,2
189543984502825,משה קונינסקי,משה קונינסקי,185,2
102538596209008,יאיר שטבון - לראשות העיר אריאל,lior shapira,184,9
414581845222057,פורום המשפחות השכולות Parents Circle Families Forum منتدى العائلات الثكلى,פורום המשפחות השכולות Parents Circle Families Forum منتدى العائلات الثكلى,182,2
276364932900823,יוני חכימי לראשות פרדס חנה כרכור,יוני חכימי לראשות פרדס חנה כרכור,182,4
107107231197546,אלון אזולאי -Alon Azulay,אלון אזולאי -Alon Azulay,182,2
100962763064910,בן כהן - לראשות המועצה באר טוביה,בן כהן,182,9
113699791757729,תמיר בן שלומי לראשות מועצת שומרון,תמיר בן שלומי Tamir Ben Shlomi,182,1
877405719007268,מכון ארגמן - Argaman Institute,מכון ארגמן,181,13
105744449044010,Алон Азулай,Алон Азулай,180,1
130311209971965,יצחק קשת - ראש העיר שלי,יצחק קשת,180,21
103766122741406,ליאור איובי - לראשות המועצה האזורית שפיר,lior ayubi,178,6
1395918227341473,עיריית חדרה,עיריית חדרה,177,2
1376946122530211,ניסן בן חמו - Nisan Ben Hamo,ניסן בן חמו - Nisan Ben Hamo,176,4
112910535448250,תנועת רגבים,תנועת רגבים,169,3
166161510917460,קובי אביבי ראש המועצה האזורית באר טוביה,קובי אביבי ראש המועצה האזורית באר טוביה,167,3
303720457847,לשכת רואי חשבון בישראל,לשכת רואי חשבון בישראל,166,2
310003182800720,עושים חקלאות ישראלית - מועצת הצמחים,עושים חקלאות ישראלית - מועצת הצמחים,164,3
756869797682674,Свободный Израиль,Свободный Израиль,164,2
108597398547126,2027 התנועה ליציאה ממדינת פלסטין.,2027 התנועה ליציאה ממדינת פלסטין.,163,2
134252303927914,Майкл Мур - מייקל מור,Майкл Мур - מייקל מור,163,2
106895605678077,מחאת המילואימניקים,מילואימניקים,162,2
102222958209767,עוזי אהרון,עוזי אהרון,162,4
105907482438233,שלומית שיחור רייכמן לראשות מ.א. עמק יזרעאל,שלומית שיחור רייכמן לראשות מ.א. עמק יזרעאל,160,2
109717378827781,באה בטוב - קרן מקסימוב ברנדס לראשות העיר רמת השרון,Keren-MB - קרן מקסימוב ברנדס,159,1
315149999091604,אביש שלמה לראשות מועצה אזורית מנשה,אביש שלמה לראשות מועצה אזורית מנשה,159,7
171506896314198,מיטל להבי - Meital Lehavi,מיטל להבי - Meital Lehavi,159,4
161096657252221,שוברים שתיקה,שוברים שתיקה,159,2
1372218169585611,"איתי מתיתיהו - סגן ראש עיריית ראשון לציון, מחזיק תיק הצעירים והנוער",helpapp - הדרך הקלה להתנדבות,157,2
224562257709477,דניאל (דני) עטר,דניאל (דני) עטר,152,3
103345646135647,קול ערד,קול ערד,152,1
117621584537422,"עו""ד ניסן זכריה לראשות העיר חולון","עו""ד ניסן זכריה לראשות העיר חולון",152,9
287663625305114,ניר בן חיים - Nir Ben Haim,ניר בן חיים - Nir Ben Haim,151,4
421210797920379,מועצה אזורית בנימין,מועצה אזורית בנימין,150,1
403470203161681,"קרן רש""י - Rashi Foundation","קרן רש""י לצמצום פערים חברתיים",150,2
100585238528895,לובי המיליון - One Million Lobby,One Million Lobby לובי המיליון,149,2
531891887148785,הראל שהם - Harel shoham,הראל שהם - Harel shoham,149,1
174270389949755,ישראל גנץ - Israel Ganz,ישראל גנץ - Israel Ganz,148,2
289430634536225,جبهة وحدة يافة الناصرة - الصفحة الرسمية,جبهة وحدة يافة الناصرة - الصفحة الرسمية,146,2
246697465679718,עומר רצון - לראשות העיר ראש העין,עומר רצון - לראשות העיר ראש העין,145,1
179034435458425,פנאי העיר חדרה,פנאי העיר חדרה,145,10
