Location name,Amount spent (CZK)
Central Bohemian Region,6847
Hradec Králové Region,2625
Karlovy Vary Region,2010
Liberec Region,2174
Moravian-Silesian Region,7278
Olomouc Region,4968
Pardubice Region,2880
Plzeň Region,3450
Prague,14325
South Bohemian Region,3330
South Moravian Region,7523
Unknown,≤100
Vysočina Region,2602
Zlín Region,3763
Ústí nad Labem Region,4742
