Location name,Amount spent (IDR)
Aceh,583447
Bali,1381562
Bangka–Belitung Islands,259905
Banten,1644372
Bengkulu,518026
Central Java,8655771
Central Kalimantan,595180
Central Sulawesi,789881
East Java,7228940
East Kalimantan,1093711
East Nusa Tenggara,1946570
Gorontalo,366779
Jakarta,4681581
Jambi,623910
Lampung,1376766
Maluku,338595
North Kalimantan,162221
North Maluku,255264
North Sulawesi,1715101
North Sumatra,4348899
Papua (province),632568
Riau,2167611
Riau Islands Province,693309
South Kalimantan,668328
South Sulawesi,1973150
South Sumatra,1756444
Southeast Sulawesi,492938
Special Region of Yogyakarta,1060082
Unknown,4234
West Java,6657252
West Kalimantan,1148093
West Nusa Tenggara,988765
West Papua,280177
West Sulawesi,273119
West Sumatra,846443
