Location name,Amount spent (MXN)
Aguascalientes,12055
Baja California,22312
Baja California Sur,4751
Campeche,13569
Chiapas,15864
Chihuahua,19356
Coahuila de Zaragoza,46223
Colima,8261
Distrito Federal,75441
Durango,7661
Guanajuato,91271
Guerrero,11969
Hidalgo,12792
Jalisco,45856
Michoacán de Ocampo,28217
Morelos,10197
Nayarit,4693
Nuevo León,77656
Oaxaca,14780
Puebla,32975
Querétaro Arteaga,19801
Quintana Roo,25852
San Luis Potosi,17663
Sinaloa,11345
Sonora,18762
State of Mexico,189383
Tabasco,11935
Tamaulipas,27027
Tlaxcala,5288
Unknown,≤100
Veracruz,30435
Yucatán,27761
Zacatecas,6572
