Location name,Amount spent (PEN)
Amazonas Region,243
Ancash Region,1167
Apurímac Region,370
Arequipa Region,1604
Ayacucho Region,660
Cajamarca Region,1036
Callao,556
Cusco Region,1248
Huancavelica Region,179
Huánuco Region,621
Ica Region,1077
Junín Region,1188
La Libertad Region,1875
Lambayeque Region,1262
Lima Region,9456
Loreto Region,618
Madre de Dios Region,252
Moquegua Region,238
Pasco Region,202
Piura Region,1709
Puno Region,1321
San Martín Region,754
Tacna Region,480
Tumbes Region,259
Ucayali Region,603
Unknown,≤100
