Location name,Amount spent (PLN)
Greater Poland Voivodeship,3653
Kuyavian-Pomeranian Voivodeship,2414
Lesser Poland Voivodeship,3708
Lower Silesian Voivodeship,3491
Lublin Voivodeship,1784
Lubusz Voivodeship,789
Masovian Voivodeship,7968
Opole Voivodeship,932
Podkarpackie Voivodeship,2464
Podlaskie Voivodeship,818
Pomeranian Voivodeship,3689
Silesian Voivodeship,6963
Unknown,≤100
Warmian-Masurian Voivodeship,1173
West Pomeranian Voivodeship,1551
Łódź Voivodeship,2337
Świętokrzyskie Voivodeship,1517
