Location name,Amount spent (IDR)
Aceh,399574
Bali,1335727
Bangka–Belitung Islands,204307
Banten,1791243
Bengkulu,384325
Central Java,7816515
Central Kalimantan,540535
Central Sulawesi,674357
East Java,11352908
East Kalimantan,1044664
East Nusa Tenggara,1316612
Gorontalo,375896
Jakarta,5155925
Jambi,490732
Lampung,1648555
Maluku,417803
North Kalimantan,164164
North Maluku,286147
North Sulawesi,1597860
North Sumatra,3569791
Papua (province),736708
Riau,1667232
Riau Islands Province,437962
South Kalimantan,568323
South Sulawesi,1994505
South Sumatra,1813605
Southeast Sulawesi,409274
Special Region of Yogyakarta,1453772
Unknown,2937
West Java,6262520
West Kalimantan,974788
West Nusa Tenggara,872187
West Papua,377310
West Sulawesi,250658
West Sumatra,687430
