Location name,Amount spent (RON)
Alba County,326
Arad County,761
Argeș County,829
Bacău County,556
Bihor County,958
Bistrița-Năsăud County,448
Botoșani County,355
Brașov County,1197
Brăila County,278
Bucharest,4074
Buzău County,430
Caraș-Severin County,346
Cluj County,1354
Constanța County,852
Covasna County,235
Călărași County,312
Dolj County,705
Dâmbovița County,398
Galați County,527
Giurgiu County,251
Gorj County,639
Harghita County,457
Hunedoara County,528
Ialomița County,194
Iași County,1926
Ilfov County,871
Maramureș County,649
Mehedinți County,225
Mureș County,684
Neamț County,1107
Olt County,281
Prahova County,1275
Satu Mare County,386
Sibiu County,441
Suceava County,555
Sălaj County,223
Teleorman County,233
Timiș County,1090
Tulcea County,171
Unknown,≤100
Vaslui County,293
Vrancea County,447
Vâlcea County,517
