Location name,Amount spent (COP)
Amazonas,1625
Antioquia,3932394
Arauca,31035
Atlantico,892229
Bolivar,170459
Boyaca,350213
Caldas,838793
Caqueta,75055
Casanare,85145
Cauca,227529
Cesar,133695
Choco,25447
Cordoba,292370
Cundinamarca,493685
Distrito Especial,3578938
Guainia,818
Guaviare,9765
Huila,245073
La Guajira,78631
Magdalena,217583
Meta,243543
Narino,85315
Norte de Santander,310758
Putumayo,50605
Quindio,137506
Risaralda,590818
San Andres y Providencia,98643
Santander,581185
Sucre,350370
Tolima,227533
Unknown,587
Valle del Cauca,3218699
Vaupes,668
Vichada,767
