Location name,Amount spent (MYR)
Johor,1273
Kedah,225
Kelantan,126
Kuala Lumpur,458
Labuan,≤100
Malacca,101
Negeri Sembilan,137
Pahang,188
Penang,127
Perak,254
Perlis,≤100
Putrajaya,≤100
Sabah,374
Sarawak,223
Selangor,1141
Terengganu,131
