Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,300
Cerro Largo Department,≤100
Colonia Department,≤100
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,102
Montevideo Department,8231
Paysandú Department,5401
Rivera Department,745
Rocha Department,≤100
Río Negro Department,142
Salto Department,134
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
