Location name,Amount spent (COP)
Amazonas,1286
Antioquia,5793359
Arauca,32182
Atlantico,849953
Bolivar,157025
Boyaca,215810
Caldas,209204
Caqueta,71357
Casanare,68349
Cauca,216225
Cesar,234425
Choco,22675
Cordoba,365534
Cundinamarca,317690
Distrito Especial,1946735
Guainia,979
Guaviare,3652
Huila,316179
La Guajira,59661
Magdalena,329660
Meta,202549
Narino,50480
Norte de Santander,330726
Putumayo,245201
Quindio,52596
Risaralda,363276
San Andres y Providencia,3780
Santander,937014
Sucre,108698
Tolima,116692
Unknown,2771
Valle del Cauca,3445320
Vaupes,252
Vichada,947
