Location name,Amount spent (IDR)
Aceh,468122
Bali,1712063
Bangka–Belitung Islands,194669
Banten,1516201
Bengkulu,318807
Central Java,7779303
Central Kalimantan,373618
Central Sulawesi,538348
East Java,9238681
East Kalimantan,834000
East Nusa Tenggara,1381053
Gorontalo,359763
Jakarta,5017496
Jambi,410270
Lampung,1210158
Maluku,302031
North Kalimantan,145774
North Maluku,226988
North Sulawesi,1367357
North Sumatra,3245656
Papua (province),541433
Riau,1205203
Riau Islands Province,563175
South Kalimantan,379428
South Sulawesi,1594666
South Sumatra,1246093
Southeast Sulawesi,426671
Special Region of Yogyakarta,1858831
Unknown,1969
West Java,6847892
West Kalimantan,1053916
West Nusa Tenggara,1101132
West Papua,231567
West Sulawesi,222765
West Sumatra,689035
