Location name,Amount spent (PYG)
Alto Paraguay Department,59523
Alto Paraná Department,6855381
Amambay Department,970714
Asunción,7806398
Boquerón department,328885
Caaguazú Department,2631718
Caazapá Department,518327
Canindeyú Department,1017515
Central Department,17890083
Concepción Department (Paraguay),942035
Cordillera Department,1746783
Guairá Department,1286616
Itapúa Department,3004174
Misiones Department,863925
Paraguarí Department,793597
Presidente Hayes Department,581674
San Pedro Department,1113158
Unknown,7838
Ñeembucú Department,529523
