Location name,Amount spent (ZAR)
Eastern Cape,848
Free State,500
Gauteng,5339
KwaZulu-Natal,1686
Limpopo,845
Mpumalanga,834
North West,462
Northern Cape,267
Unknown,≤100
Western Cape,12792
