Location name,Amount spent (HUF)
Baranya County,153245
Borsod-Abaúj-Zemplén County,216817
Budapest,1069987
Bács-Kiskun County,194669
Békés County,114807
Csongrád County,190159
Fejér County,183765
Győr-Moson-Sopron County,177700
Hajdú-Bihar County,179359
Heves County,104063
Jász-Nagykun-Szolnok County,124707
Komárom-Esztergom County,114568
Nógrád County,57974
Pest County,394972
Somogy County,103910
Szabolcs-Szatmár-Bereg County,154650
Tolna County,73412
Unknown,199
Vas County,93446
Veszprém County,119939
Zala County,134474
