Location name,Amount spent (ZAR)
Eastern Cape,958
Free State,949
Gauteng,4156
KwaZulu-Natal,1506
Limpopo,696
Mpumalanga,711
North West,422
Northern Cape,506
Unknown,≤100
Western Cape,6718
