Location name,Amount spent (DKK)
Capital Region of Denmark,57606
Central Denmark Region,43673
Faroe Islands,709
Greenland,≤100
North Denmark Region,17098
Region of Southern Denmark,35833
Unknown,≤100
Zealand Region,22808
