Location name,Amount spent (USD)
Azuay Province,789
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,164
Chimborazo Province,316
Cotopaxi Province,216
El Oro Province,971
Esmeraldas Province,278
Galápagos Province,≤100
Guayas Province,2663
Imbabura Province,248
Loja Province,127
Los Ríos Province,1012
Manabí Province,1042
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1361
Santa Elena Province,124
Santo Domingo de los Tsáchilas Province,1302
Sucumbíos Province,≤100
Tungurahua Province,334
Unknown,≤100
Zamora-Chinchipe Province,≤100
