Location name,Amount spent (AUD)
Australian Capital Territory,1341
Jervis Bay Territory,≤100
New South Wales,16447
Northern Territory,702
Queensland,14101
South Australia,5057
Tasmania,2164
Unknown,≤100
Victoria,14970
Western Australia,10987
