Location name,Amount spent (PEN)
Amazonas Region,194
Ancash Region,989
Apurímac Region,313
Arequipa Region,1318
Ayacucho Region,541
Cajamarca Region,809
Callao,539
Cusco Region,1027
Huancavelica Region,149
Huánuco Region,501
Ica Region,948
Junín Region,990
La Libertad Region,1524
Lambayeque Region,1018
Lima Region,11324
Loreto Region,542
Madre de Dios Region,206
Moquegua Region,207
Pasco Region,167
Piura Region,1242
Puno Region,1026
San Martín Region,695
Tacna Region,379
Tumbes Region,200
Ucayali Region,463
Unknown,≤100
