Location name,Amount spent (PKR)
Azad Kashmir,1355
Balochistan,1077
Federally Administered Tribal Areas,182
Gilgit-Baltistan,661
Islamabad Capital Territory,5863
Khyber Pakhtunkhwa,5034
Punjab,21832
Sindh,45235
Unknown,≤100
