Location name,Amount spent (EUR)
Blagoevgrad Province,305
Burgas Province,364
Dobrich Province,243
Gabrovo Province,108
Haskovo Province,184
Kardzhali Province,131
Kyustendil Province,122
Lovech Province,118
Montana Province,110
Pazardzhik Province,215
Pernik Province,114
Pleven Province,215
Plovdiv Province,680
Razgrad Province,140
Ruse Province,201
Shumen Province,127
Silistra Province,≤100
Sliven Province,227
Smolyan Province,102
Sofia City Province,1249
Sofia Province,159
Stara Zagora Province,348
Targovishte Province,109
Unknown,≤100
Varna Province,442
Veliko Tarnovo Province,212
Vidin Province,135
Vratsa Province,179
Yambol Province,125
